filename,inference_size,BP-1,BP-2,BP-3,BP-5,EPE,D1,inference_time_ms,peak_memory_mb
KITTI15-000133_10.png,375x1242,8.6966,1.2115,0.6583,0.2395,0.4273,0.6583,385.0629,1349.6919
KITTI15-000134_10.png,375x1242,9.9167,1.2042,0.7833,0.5877,0.5118,0.7833,454.4027,1349.6919
KITTI15-000135_10.png,375x1242,8.1609,0.6353,0.1959,0.1048,0.4099,0.1959,357.7716,1349.6919
KITTI15-000136_10.png,375x1242,35.3447,8.4594,1.3140,0.6582,0.9199,1.3140,459.9502,1349.6919
KITTI15-000137_10.png,375x1242,14.6572,1.4447,0.9920,0.7739,0.5932,0.9920,338.1152,1349.6919
KITTI15-000138_10.png,375x1242,7.3406,1.2147,0.7329,0.4644,0.4090,0.7329,508.3354,1349.6919
KITTI15-000139_10.png,375x1242,6.6493,1.3150,0.8926,0.4849,0.3896,0.8926,335.8178,1349.6919
KITTI15-000140_10.png,375x1242,8.2584,1.3370,0.4344,0.2403,0.4037,0.4344,451.4055,1349.6919
KITTI15-000141_10.png,375x1242,13.4223,0.7980,0.2951,0.1940,0.5452,0.2951,350.7822,1349.6919
KITTI15-000142_10.png,375x1242,7.7945,1.4586,0.7087,0.3697,0.4281,0.7087,502.3866,1349.6919
KITTI15-000143_10.png,375x1242,6.5154,1.3749,0.8258,0.4322,0.4152,0.8258,321.4538,1349.6919
KITTI15-000144_10.png,375x1242,10.0281,1.0341,0.3753,0.2268,0.4925,0.3753,488.4522,1349.6919
KITTI15-000145_10.png,375x1242,11.8325,2.4380,1.5816,1.0869,0.7497,1.5816,356.2293,1349.6919
KITTI15-000146_10.png,375x1242,15.5648,2.3852,1.5514,1.0628,0.6370,1.5514,494.5664,1349.6919
KITTI15-000147_10.png,375x1242,7.6925,1.4290,0.7693,0.5071,0.4760,0.7693,348.5119,1349.6919
KITTI15-000148_10.png,375x1242,7.6831,2.2881,1.2196,0.7566,0.4716,1.2196,483.6655,1349.6919
KITTI15-000149_10.png,375x1242,12.0634,0.6568,0.2826,0.1616,0.5259,0.2826,432.3404,1349.6919
KITTI15-000150_10.png,375x1242,6.9225,1.1996,0.6022,0.3110,0.4443,0.6022,450.8340,1349.6919
KITTI15-000151_10.png,375x1242,8.3714,1.1742,0.6350,0.2777,0.4460,0.6350,374.1825,1349.6919
KITTI15-000152_10.png,375x1242,8.6162,2.6341,1.5412,0.9207,0.5173,1.5412,519.7289,1349.6919
KITTI15-000153_10.png,375x1242,11.4078,3.6983,2.6347,1.2010,0.5622,2.6347,357.7631,1349.6919
KITTI15-000154_10.png,375x1242,14.0322,3.1337,1.7094,1.0252,0.6453,1.7094,491.7371,1349.6919
KITTI15-000155_10.png,370x1224,14.4783,2.8674,1.8121,1.0365,0.7935,1.8121,332.2680,1349.9868
KITTI15-000156_10.png,370x1224,7.8913,3.4245,2.4186,1.4163,0.5465,2.4186,430.1536,1349.9868
KITTI15-000157_10.png,374x1238,13.0896,3.4565,1.6414,0.8343,0.5850,1.6414,402.5002,1349.7554
KITTI15-000158_10.png,374x1238,11.3988,2.8803,1.4783,0.5903,0.5466,1.4783,444.4134,1349.7554
KITTI15-000159_10.png,374x1238,10.9064,3.4527,1.9858,1.1013,0.5561,1.9858,397.1834,1349.7554
KITTI15-000160_10.png,374x1238,11.4771,4.0517,2.4269,1.3982,0.6049,2.4269,516.3636,1349.7554
KITTI15-000161_10.png,374x1238,32.7816,20.3247,13.7644,5.6459,1.3784,13.7644,380.4817,1349.7554
KITTI15-000162_10.png,374x1238,17.1490,5.6005,3.1360,1.7594,0.7660,3.1360,328.4149,1349.7554
KITTI15-000163_10.png,374x1238,12.7050,4.2252,2.3790,1.3075,0.6685,2.3790,516.0532,1349.7554
KITTI15-000164_10.png,374x1238,14.2035,5.0112,2.9093,1.8211,0.7231,2.9093,333.8122,1349.7554
KITTI15-000165_10.png,374x1238,9.7456,2.6893,1.3272,0.8437,0.5537,1.3272,619.5385,1349.7554
KITTI15-000166_10.png,374x1238,4.5242,1.2124,0.6765,0.3710,0.3793,0.6765,325.0468,1349.7554
KITTI15-000167_10.png,374x1238,11.4936,1.7002,1.0937,0.7509,0.5714,1.0937,505.7244,1349.7554
KITTI15-000168_10.png,374x1238,14.8589,7.4123,5.1504,3.6691,1.1869,5.1504,322.1917,1349.7554
KITTI15-000169_10.png,374x1238,7.7669,3.9796,1.8469,0.9509,0.7191,1.8469,501.9922,1349.7554
KITTI15-000170_10.png,376x1241,19.2876,7.4081,0.7408,0.3550,0.6608,0.7408,465.8649,1349.6724
KITTI15-000171_10.png,376x1241,9.4667,0.8527,0.3737,0.2198,0.4444,0.3737,362.1089,1349.6724
KITTI15-000172_10.png,376x1241,5.4318,0.9849,0.5184,0.2637,0.3770,0.5184,399.3287,1349.6724
KITTI15-000173_10.png,376x1241,9.2017,1.7245,0.9889,0.5622,0.5251,0.9889,414.9129,1349.6724
KITTI15-000174_10.png,376x1241,20.1781,6.0742,3.1913,1.5490,0.7775,3.1913,340.5962,1349.6724
KITTI15-000175_10.png,376x1241,13.7659,3.9822,1.9866,0.9537,0.6605,1.9866,454.9737,1349.6724
KITTI15-000176_10.png,376x1241,9.8980,3.3745,2.0322,1.1524,0.6601,2.0322,520.0410,1349.6724
KITTI15-000177_10.png,376x1241,15.5395,2.3812,1.0328,0.4218,0.6108,1.0328,398.1266,1349.6724
KITTI15-000178_10.png,376x1241,9.3242,1.9475,0.8478,0.4686,0.5117,0.8478,514.6978,1349.6724
KITTI15-000179_10.png,376x1241,14.7065,4.7832,2.8285,1.8237,0.7102,2.8285,496.6192,1349.6724
KITTI15-000180_10.png,376x1241,10.4455,2.1129,1.0072,0.5751,0.5050,1.0072,324.2137,1349.6724
KITTI15-000181_10.png,376x1241,10.1878,2.3619,1.1128,0.4783,0.4925,1.1128,543.7949,1349.6724
KITTI15-000182_10.png,376x1241,16.0968,3.4716,1.6200,0.9117,0.6548,1.6200,337.1072,1349.6724
KITTI15-000183_10.png,376x1241,10.8407,2.1063,0.7763,0.3413,0.5166,0.7763,501.0960,1349.6724
KITTI15-000184_10.png,376x1241,14.8306,3.4132,2.0060,1.1799,0.6607,2.0060,332.2625,1349.6724
KITTI15-000185_10.png,376x1241,7.1981,1.0232,0.4352,0.2123,0.4048,0.4352,501.8849,1349.6724
KITTI15-000186_10.png,376x1241,8.4689,2.5457,1.8038,0.7862,0.5207,1.8038,339.1895,1349.6724
KITTI15-000187_10.png,376x1241,9.5968,3.7591,2.5654,1.1975,0.5498,2.5654,535.9349,1349.6724
KITTI15-000188_10.png,376x1241,7.7127,1.3656,0.5028,0.2427,0.4485,0.5028,401.4549,1349.6724
KITTI15-000189_10.png,376x1241,11.8131,2.6612,1.9186,1.4982,0.6185,1.9186,542.4061,1349.6724
KITTI15-000190_10.png,376x1241,9.8962,2.3744,1.2568,0.6359,0.5274,1.2568,324.5413,1349.6724
KITTI15-000191_10.png,376x1241,12.2485,4.0594,2.5009,1.3826,0.6440,2.5009,499.0306,1349.6724
KITTI15-000192_10.png,376x1241,7.1414,2.0634,1.2290,0.7021,0.4672,1.2290,492.6467,1349.6724
KITTI15-000193_10.png,376x1241,23.6813,15.3019,8.7826,2.7299,1.1687,8.7826,425.2408,1349.6724
KITTI15-000194_10.png,376x1241,15.8203,7.2385,4.6368,1.8280,0.6998,4.6368,356.9853,1349.6724
KITTI15-000195_10.png,376x1241,8.1965,2.7915,1.7602,0.8280,0.5269,1.7602,415.6191,1349.6724
KITTI15-000196_10.png,376x1241,14.5592,3.5302,0.7054,0.3391,0.5372,0.7054,383.6560,1349.6724
KITTI15-000197_10.png,376x1241,9.1408,1.7609,0.6562,0.4555,0.4802,0.6562,485.1589,1349.6724
KITTI15-000198_10.png,376x1241,5.0355,0.9232,0.4992,0.3399,0.3809,0.4992,328.5871,1349.6724
KITTI15-000199_10.png,376x1241,11.0439,2.9588,1.3762,0.5909,0.5609,1.3762,440.1741,1349.6724
